"Purchase_Amount","Time_Spent_on_Website","Number_of_products_browsed","Pictures","Shipping_Time","Review_rating","Find_website","Ease_of_purchase","Age","Device"
685.23,1306,30,3.7,3.87,3.9,"Friends_or_Family",4,37,"PC"
622.03,799,20,3.2,4.11,4.2,"Search_Engine",4,42,"PC"
589.52,694,16,3.4,4.56,3.9,"Search_Engine",4,40,"PC"
219.42,666,16,3.9,4.17,3.2,"Social_Media_Advertisement",4,72,"PC"
503.56,466,8,5.2,2.94,3.6,"Search_Engine",3,49,"PC"
584.44,833,19,3.4,2.27,4,"Search_Engine",4,51,"PC"
641.04,1067,24,2.6,3.1,3.6,"Search_Engine",4,49,"PC"
445.92,546,12,3,2.47,3.3,"Search_Engine",4,48,"PC"
591.43,621,16,2.8,2.81,4.3,"Social_Media_Advertisement",4,37,"Mobile"
454.52,645,17,2.7,4.93,4,"Search_Engine",3,53,"PC"
557.92,377,8,3.8,2.01,4.6,"Search_Engine",4,40,"Mobile"
775.76,1448,36,3.8,3.18,3.5,"Search_Engine",4,45,"PC"
623.92,818,21,1.2,2.47,3.9,"Social_Media_Advertisement",5,43,"PC"
695.87,1186,26,3.2,3.52,4.1,"Other",4,43,"PC"
614.96,851,18,1.4,3.92,3.7,"Social_Media_Advertisement",4,51,"Mobile"
530.9,553,14,2.1,4.97,3.4,"Social_Media_Advertisement",4,46,"Mobile"
615.58,604,14,2,3.59,4,"Social_Media_Advertisement",5,35,"PC"
412.71,766,16,1.5,2.23,4.3,"Search_Engine",5,66,"Mobile"
724.18,1314,30,4,3.01,4.2,"Search_Engine",4,49,"PC"
657.07,697,17,2.9,2.44,4.9,"Social_Media_Advertisement",5,52,"PC"
740.11,1054,22,3.9,2.83,3.7,"Friends_or_Family",4,46,"PC"
614.01,914,22,2.2,2.95,4.2,"Search_Engine",NA,59,"PC"
641.62,1132,29,2.6,3.09,4.1,"Social_Media_Advertisement",4,37,"PC"
541.14,674,16,2.7,3.37,3.7,"Social_Media_Advertisement",3,42,"PC"
557.99,853,20,3.5,2.32,4.3,"Search_Engine",4,28,"Mobile"
394.04,756,19,2.1,3.46,3.2,"Social_Media_Advertisement",3,26,"PC"
591.35,1160,25,2.2,2.3,3.9,NA,5,27,"PC"
636.24,1126,28,5,3.21,2.8,"Search_Engine",4,47,"PC"
554.29,814,18,3.9,1.95,2.7,"Social_Media_Advertisement",4,55,"PC"
705.63,1151,28,1.2,1.61,4.9,"Search_Engine",4,45,"Mobile"
324.03,881,22,3.7,3.05,4,"Social_Media_Advertisement",4,71,"PC"
787.69,1374,33,3.7,1.27,4.7,"Social_Media_Advertisement",4,42,"Mobile"
715.81,1159,27,3.8,3.78,4.5,"Search_Engine",3,41,"PC"
595.28,950,21,1.6,1.82,4.1,"Search_Engine",NA,54,"PC"
563.48,722,18,3.6,4.12,4.4,"Search_Engine",4,35,"PC"
571.8,536,12,2.5,2.93,4.2,"Search_Engine",3,36,"Mobile"
574.18,911,21,5.2,2.34,3.7,"Social_Media_Advertisement",3,58,"PC"
609.81,741,18,2.9,3.78,3.4,"Search_Engine",4,40,"PC"
625.28,778,19,2.3,4.04,4.9,"Social_Media_Advertisement",4,29,"PC"
647.32,1497,35,1.4,2.41,3.9,"Search_Engine",NA,51,"PC"
502.14,830,20,2,3.28,3.6,"Search_Engine",4,57,"Mobile"
555.91,718,15,2.9,1.91,4.1,"Search_Engine",NA,56,"PC"
529.56,812,20,1.5,3.1,4,"Search_Engine",4,47,"Mobile"
627.81,786,16,2.7,3.46,4.1,"Social_Media_Advertisement",5,48,"PC"
767.02,1631,37,3.3,2.49,3.2,"Search_Engine",4,48,"Mobile"
586.63,781,18,3.1,1.71,3.8,"Social_Media_Advertisement",4,51,"PC"
